File,WaveData20240530_007.csv,
Date/Time,24-05-30/20:45,

Trace,A
Center Wavelength,1529.77,nm
Span Wavelength,10,nm
Start Wavelength,1524.77,nm
Stop Wavelength,1534.77,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.101,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1524.77,nm
Stop,1534.77,nm

Wavelength(A),Level(A)
1524.770000,7.5470E-009
1524.790000,7.4820E-009
1524.810000,2.6160E-008
1524.830000,1.0830E-008
1524.850000,8.2420E-009
1524.870000,3.5130E-008
1524.890000,1.2640E-008
1524.910000,2.8850E-008
1524.930000,2.5560E-009
1524.950000,7.8570E-009
1524.970000,1.6410E-008
1524.990000,1.7220E-008
1525.010000,3.0730E-008
1525.030000,6.8990E-009
1525.050000,2.0510E-008
1525.070000,5.5440E-009
1525.090000,-1.5420E-010
1525.110000,8.5200E-009
1525.130000,6.0390E-009
1525.150000,1.1930E-008
1525.170000,1.5420E-010
1525.190000,-1.1680E-008
1525.210000,1.1220E-008
1525.230000,1.3260E-008
1525.250000,1.6450E-008
1525.270000,3.5260E-010
1525.290000,1.9780E-008
1525.310000,1.1050E-008
1525.330000,-1.4170E-008
1525.350000,2.5600E-008
1525.370000,8.1360E-009
1525.390000,1.6470E-008
1525.410000,1.8010E-008
1525.430000,2.9100E-009
1525.450000,-5.9640E-009
1525.470000,9.1180E-009
1525.490000,1.6400E-008
1525.510000,1.8680E-008
1525.530000,-1.5880E-008
1525.550000,5.9870E-009
1525.570000,6.5820E-009
1525.590000,3.9690E-009
1525.610000,5.8980E-009
1525.630000,1.2170E-008
1525.650000,2.1300E-008
1525.670000,9.5720E-009
1525.690000,2.7600E-008
1525.710000,9.1530E-009
1525.730000,1.0030E-008
1525.750000,-7.3220E-009
1525.770000,1.6020E-008
1525.790000,-8.6020E-010
1525.810000,7.4550E-009
1525.830000,2.2600E-009
1525.850000,1.4430E-008
1525.870000,-5.2380E-009
1525.890000,1.6540E-009
1525.910000,2.0090E-008
1525.930000,2.5680E-008
1525.950000,6.8490E-009
1525.970000,-7.1250E-009
1525.990000,1.4390E-008
1526.010000,1.3570E-008
1526.030000,3.1650E-008
1526.050000,1.2590E-008
1526.070000,1.9690E-008
1526.090000,1.3330E-008
1526.110000,2.8460E-009
1526.130000,3.2320E-009
1526.150000,-2.3490E-009
1526.170000,2.0570E-008
1526.190000,-5.6700E-009
1526.210000,4.8750E-009
1526.230000,8.8040E-009
1526.250000,-5.0750E-010
1526.270000,7.9320E-009
1526.290000,1.6220E-008
1526.310000,1.3580E-008
1526.330000,1.9870E-008
1526.350000,-6.4540E-009
1526.370000,5.8920E-009
1526.390000,1.3650E-008
1526.410000,1.8830E-008
1526.430000,3.6950E-009
1526.450000,3.0780E-009
1526.470000,1.6230E-008
1526.490000,2.7200E-008
1526.510000,2.0850E-008
1526.530000,-1.7650E-010
1526.550000,-3.0450E-009
1526.570000,1.6170E-008
1526.590000,2.5850E-008
1526.610000,1.4750E-008
1526.630000,-2.7590E-009
1526.650000,1.4890E-009
1526.670000,1.6440E-008
1526.690000,7.7910E-009
1526.710000,2.1060E-008
1526.730000,4.0720E-009
1526.750000,3.2340E-009
1526.770000,8.3780E-009
1526.790000,-5.4740E-009
1526.810000,-3.1450E-009
1526.830000,1.6040E-008
1526.850000,1.3780E-008
1526.870000,1.1630E-008
1526.890000,1.9820E-008
1526.910000,7.2850E-010
1526.930000,2.0110E-008
1526.950000,2.6940E-008
1526.970000,-6.5130E-010
1526.990000,2.5350E-008
1527.010000,1.9580E-008
1527.030000,7.3850E-009
1527.050000,8.7980E-009
1527.070000,3.1310E-008
1527.090000,-4.8570E-009
1527.110000,9.6930E-009
1527.130000,-3.4220E-010
1527.150000,1.7060E-008
1527.170000,2.5700E-008
1527.190000,7.3980E-009
1527.210000,2.0920E-008
1527.230000,2.8480E-009
1527.250000,1.6810E-008
1527.270000,-3.9750E-009
1527.290000,1.1050E-008
1527.310000,2.0970E-010
1527.330000,1.8850E-008
1527.350000,7.4760E-009
1527.370000,2.0190E-008
1527.390000,1.3450E-008
1527.410000,1.9140E-008
1527.430000,1.8000E-008
1527.450000,-1.0910E-008
1527.470000,2.5320E-008
1527.490000,-4.6710E-009
1527.510000,-5.8420E-009
1527.530000,1.3270E-008
1527.550000,-5.2460E-009
1527.570000,4.0970E-009
1527.590000,-9.7200E-010
1527.610000,7.0130E-009
1527.630000,-6.5160E-009
1527.650000,-8.5500E-009
1527.670000,5.1370E-009
1527.690000,1.7110E-008
1527.710000,1.8840E-008
1527.730000,-4.0860E-009
1527.750000,3.5790E-009
1527.770000,2.7550E-008
1527.790000,1.3660E-008
1527.810000,2.7200E-008
1527.830000,1.7750E-008
1527.850000,4.4410E-009
1527.870000,9.4250E-009
1527.890000,2.0850E-008
1527.910000,-2.6070E-009
1527.930000,7.7780E-009
1527.950000,1.4950E-008
1527.970000,1.6000E-008
1527.990000,1.2850E-008
1528.010000,-8.0880E-009
1528.030000,5.0720E-009
1528.050000,-8.7290E-010
1528.070000,1.1640E-008
1528.090000,7.3820E-009
1528.110000,1.2410E-008
1528.130000,-2.1330E-009
1528.150000,2.2570E-008
1528.170000,-1.1510E-008
1528.190000,2.5860E-008
1528.210000,-1.4360E-010
1528.230000,2.1100E-009
1528.250000,7.0300E-009
1528.270000,3.0660E-008
1528.290000,9.7270E-010
1528.310000,1.2800E-008
1528.330000,1.1680E-008
1528.350000,2.0250E-008
1528.370000,1.9350E-008
1528.390000,1.9920E-008
1528.410000,7.3070E-009
1528.430000,1.6470E-008
1528.450000,2.6970E-009
1528.470000,1.0660E-008
1528.490000,2.1570E-008
1528.510000,-1.2720E-008
1528.530000,2.1640E-008
1528.550000,1.1570E-008
1528.570000,-1.0050E-009
1528.590000,2.2330E-009
1528.610000,3.4120E-008
1528.630000,4.3890E-009
1528.650000,-1.9020E-009
1528.670000,1.1370E-008
1528.690000,1.2190E-008
1528.710000,8.9460E-009
1528.730000,1.8780E-008
1528.750000,1.0240E-008
1528.770000,1.2910E-008
1528.790000,1.5690E-008
1528.810000,2.5500E-008
1528.830000,1.5940E-008
1528.850000,1.1810E-008
1528.870000,2.8410E-009
1528.890000,2.7950E-008
1528.910000,-1.3820E-009
1528.930000,2.4020E-008
1528.950000,6.8030E-009
1528.970000,2.0600E-008
1528.990000,5.3640E-009
1529.010000,2.4330E-008
1529.030000,-6.4710E-009
1529.050000,2.1220E-008
1529.070000,1.0120E-008
1529.090000,-9.4030E-010
1529.110000,1.0870E-008
1529.130000,-4.6460E-009
1529.150000,2.0890E-008
1529.170000,9.0050E-009
1529.190000,1.8090E-008
1529.210000,1.2200E-008
1529.230000,8.2540E-009
1529.250000,7.8220E-009
1529.270000,1.3780E-008
1529.290000,1.6150E-008
1529.310000,7.4130E-010
1529.330000,1.5410E-008
1529.350000,3.6620E-009
1529.370000,7.7790E-009
1529.390000,2.9570E-008
1529.410000,1.0910E-008
1529.430000,2.0420E-008
1529.450000,4.6670E-008
1529.470000,3.6230E-008
1529.490000,5.7810E-008
1529.510000,1.0580E-007
1529.530000,2.4520E-007
1529.550000,4.8740E-007
1529.570000,9.8470E-007
1529.590000,1.4940E-006
1529.610000,2.3400E-006
1529.630000,4.3400E-006
1529.650000,1.1840E-005
1529.670000,4.7620E-005
1529.690000,2.1450E-004
1529.710000,8.7300E-004
1529.730000,2.3970E-003
1529.750000,2.9100E-003
1529.770000,2.9470E-003
1529.790000,2.7820E-003
1529.810000,2.1250E-003
1529.830000,6.3550E-004
1529.850000,7.7750E-005
1529.870000,2.2220E-005
1529.890000,1.0350E-005
1529.910000,3.9420E-006
1529.930000,1.3280E-006
1529.950000,6.2820E-007
1529.970000,2.8590E-007
1529.990000,1.5240E-007
1530.010000,1.1200E-007
1530.030000,7.0790E-008
1530.050000,4.4060E-008
1530.070000,2.0900E-008
1530.090000,3.1810E-008
1530.110000,3.2790E-008
1530.130000,2.4090E-008
1530.150000,1.4190E-008
1530.170000,1.8590E-008
1530.190000,1.6290E-008
1530.210000,2.5830E-008
1530.230000,1.3140E-008
1530.250000,2.7840E-008
1530.270000,8.5950E-009
1530.290000,1.1920E-008
1530.310000,8.2740E-009
1530.330000,1.4070E-008
1530.350000,1.2510E-008
1530.370000,1.0660E-008
1530.390000,3.3980E-008
1530.410000,1.6440E-008
1530.430000,1.7600E-008
1530.450000,1.2420E-008
1530.470000,-7.0690E-009
1530.490000,2.2390E-008
1530.510000,1.0690E-008
1530.530000,1.5670E-008
1530.550000,2.6770E-008
1530.570000,7.6790E-009
1530.590000,1.3130E-008
1530.610000,-4.9970E-009
1530.630000,1.2700E-008
1530.650000,2.9250E-009
1530.670000,9.1430E-009
1530.690000,2.7590E-008
1530.710000,1.4160E-008
1530.730000,1.4810E-008
1530.750000,7.9680E-009
1530.770000,2.6590E-009
1530.790000,1.5230E-008
1530.810000,2.4890E-008
1530.830000,-3.4360E-010
1530.850000,1.5970E-008
1530.870000,2.1180E-008
1530.890000,1.1680E-008
1530.910000,5.7640E-009
1530.930000,8.0040E-009
1530.950000,4.0460E-009
1530.970000,6.8290E-009
1530.990000,-3.6580E-010
1531.010000,4.1900E-009
1531.030000,2.0110E-008
1531.050000,2.2910E-008
1531.070000,2.3290E-008
1531.090000,1.0290E-008
1531.110000,1.6790E-008
1531.130000,-1.3130E-008
1531.150000,1.3960E-008
1531.170000,-9.5690E-009
1531.190000,1.2860E-008
1531.210000,2.1030E-008
1531.230000,1.2980E-008
1531.250000,5.0350E-009
1531.270000,1.7950E-008
1531.290000,6.1440E-009
1531.310000,1.8080E-008
1531.330000,1.1740E-008
1531.350000,1.2110E-008
1531.370000,3.4160E-008
1531.390000,1.2860E-009
1531.410000,6.4450E-009
1531.430000,1.5110E-008
1531.450000,9.1520E-009
1531.470000,1.0840E-008
1531.490000,-1.2090E-009
1531.510000,3.1930E-008
1531.530000,-6.2790E-009
1531.550000,7.2550E-009
1531.570000,6.9790E-009
1531.590000,-1.5740E-009
1531.610000,6.2130E-009
1531.630000,2.2110E-008
1531.650000,2.2250E-008
1531.670000,1.0230E-008
1531.690000,1.0260E-008
1531.710000,-1.8080E-009
1531.730000,4.1240E-008
1531.750000,8.9890E-010
1531.770000,1.7080E-009
1531.790000,2.1390E-008
1531.810000,1.7620E-008
1531.830000,1.0540E-009
1531.850000,5.4830E-009
1531.870000,1.7960E-008
1531.890000,1.2120E-008
1531.910000,9.8230E-009
1531.930000,-4.3730E-009
1531.950000,7.0930E-009
1531.970000,-5.7380E-009
1531.990000,1.2480E-008
1532.010000,4.2180E-010
1532.030000,3.1430E-008
1532.050000,1.4700E-008
1532.070000,1.6360E-008
1532.090000,1.4880E-008
1532.110000,6.3170E-009
1532.130000,7.8820E-010
1532.150000,1.7060E-008
1532.170000,3.4850E-009
1532.190000,1.0890E-008
1532.210000,3.0360E-008
1532.230000,9.1150E-009
1532.250000,9.9170E-009
1532.270000,1.3200E-009
1532.290000,1.8530E-008
1532.310000,-1.3550E-008
1532.330000,1.6150E-008
1532.350000,1.5150E-008
1532.370000,1.0170E-008
1532.390000,5.4410E-009
1532.410000,-3.0530E-009
1532.430000,3.0530E-008
1532.450000,1.0720E-008
1532.470000,1.1910E-008
1532.490000,1.3260E-008
1532.510000,1.1170E-008
1532.530000,-1.5370E-008
1532.550000,1.7660E-008
1532.570000,1.9990E-008
1532.590000,2.8660E-008
1532.610000,2.5540E-010
1532.630000,5.1410E-009
1532.650000,1.3150E-008
1532.670000,1.6310E-008
1532.690000,1.8960E-008
1532.710000,-1.2610E-008
1532.730000,-1.1850E-008
1532.750000,1.6390E-008
1532.770000,-1.2650E-009
1532.790000,1.5880E-009
1532.810000,7.7950E-009
1532.830000,3.4760E-008
1532.850000,9.9280E-009
1532.870000,9.5160E-009
1532.890000,1.3540E-009
1532.910000,1.0750E-008
1532.930000,3.6290E-008
1532.950000,-3.0080E-009
1532.970000,-2.8520E-009
1532.990000,1.0030E-008
1533.010000,2.3080E-008
1533.030000,1.1500E-008
1533.050000,2.4200E-009
1533.070000,5.5960E-009
1533.090000,6.9950E-009
1533.110000,5.5180E-009
1533.130000,2.1550E-008
1533.150000,2.0720E-008
1533.170000,1.6920E-008
1533.190000,7.3500E-009
1533.210000,3.4410E-009
1533.230000,-7.6950E-009
1533.250000,3.1480E-008
1533.270000,-6.3060E-009
1533.290000,1.1400E-008
1533.310000,1.3120E-008
1533.330000,-6.6620E-010
1533.350000,-1.9200E-009
1533.370000,1.1550E-008
1533.390000,2.3250E-008
1533.410000,-1.6310E-009
1533.430000,2.6350E-008
1533.450000,2.1870E-008
1533.470000,-7.7500E-009
1533.490000,9.0490E-009
1533.510000,1.1250E-008
1533.530000,2.1350E-008
1533.550000,1.0030E-008
1533.570000,6.4500E-009
1533.590000,-1.4040E-008
1533.610000,2.1530E-008
1533.630000,7.6490E-009
1533.650000,9.3920E-009
1533.670000,-5.0730E-009
1533.690000,1.0440E-008
1533.710000,1.4820E-008
1533.730000,1.7600E-008
1533.750000,1.4480E-008
1533.770000,6.5390E-009
1533.790000,1.6820E-008
1533.810000,5.4950E-009
1533.830000,1.5650E-008
1533.850000,1.5610E-008
1533.870000,1.3030E-008
1533.890000,2.0400E-008
1533.910000,1.3100E-008
1533.930000,2.1240E-008
1533.950000,-5.6400E-009
1533.970000,3.3410E-009
1533.990000,2.0100E-008
1534.010000,1.0630E-008
1534.030000,1.4670E-008
1534.050000,-6.4050E-009
1534.070000,4.0400E-009
1534.090000,2.5690E-008
1534.110000,-1.6310E-009
1534.130000,2.5750E-008
1534.150000,-1.2080E-008
1534.170000,1.8920E-008
1534.190000,3.3850E-009
1534.210000,2.4620E-008
1534.230000,-9.5130E-009
1534.250000,1.3480E-008
1534.270000,1.7060E-008
1534.290000,-3.4850E-009
1534.310000,2.4350E-008
1534.330000,1.4740E-008
1534.350000,1.0840E-008
1534.370000,1.1700E-008
1534.390000,1.3420E-008
1534.410000,1.6440E-008
1534.430000,9.2140E-009
1534.450000,1.3270E-008
1534.470000,7.7590E-009
1534.490000,2.2750E-008
1534.510000,-4.3180E-009
1534.530000,1.6380E-008
1534.550000,2.3860E-008
1534.570000,2.3090E-008
1534.590000,2.0520E-008
1534.610000,-9.3020E-009
1534.630000,2.5530E-008
1534.650000,-2.3410E-009
1534.670000,1.8540E-008
1534.690000,7.4920E-009
1534.710000,1.1650E-008
1534.730000,2.7950E-008
1534.750000,-1.8860E-010
1534.770000,1.7470E-008
