Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
5d5/2,12f5/2,623.3062,0,623.3062,0.1797316,0.0036186,0.1797(36),,,,
5d5/2,12f7/2,623.3069,0,623.3069,0.8038835,0.016145,0.804(16),,,,
6d3/2,6p1/2,876.3817,0.0001,876.3817(1),4.2347244,0.0694282,4.235(69),,,,
6d3/2,6p3/2,921.106,0.0001,921.1060(1),2.0921392,0.0326767,2.092(33),,,,
6d3/2,7p1/2,12143.689,0.2953,12143.7(3),17.988501,0.044033,17.989(44),,,,
6d3/2,7p3/2,15566.0436,0.6305,15566.0(6),8.0738487,0.0207378,8.074(21),,,,
6d3/2,8p1/2,3205.1134,0.001,3205.113(1),5.0136941,0.163201,5.01(16),,,,
6d3/2,8p3/2,3122.3782,0.0293,3122.38(3),1.979535,0.0724079,1.980(72),,,,
6d3/2,9p1/2,1980.9137,0.0004,1980.9137(4),1.5606154,0.0229552,1.561(23),,,,
6d3/2,9p3/2,1963.5343,0.0006,1963.5343(6),0.6330913,0.0095122,0.6331(95),,,,
6d3/2,10p1/2,1629.1975,0.0003,1629.1975(3),0.8495324,0.0158014,0.850(16),,,,
6d3/2,10p3/2,1622.0979,0.0004,1622.0979(4),0.3462759,0.0067377,0.3463(67),,,,
6d3/2,11p1/2,1467.4371,0.0002,1467.4371(2),0.5643095,0.0112538,0.564(11),,,,
6d3/2,11p3/2,1463.6996,0.0007,1463.6996(7),0.2303111,0.0048589,0.2303(49),,,,
6d3/2,12p1/2,1376.7258,0.0002,1376.7258(2),0.414813,0.008533,0.4148(85),,,,
6d3/2,12p3/2,1374.4714,0.0006,1374.4714(6),0.1693557,0.0037135,0.1694(37),,,,
6d3/2,13p1/2,1319.8102,0.0002,1319.8102(2),0.3240421,0.0067784,0.3240(68),,,,
6d3/2,13p3/2,1318.3295,0.0005,1318.3295(5),0.1323092,0.0029614,0.1323(30),,,,
6d3/2,14p1/2,1281.3858,0.0002,1281.3858(2),0.2635628,0.0055697,0.2636(56),,,,
6d3/2,14p3/2,1280.3537,0.0005,1280.3537(5),0.1076108,0.0024442,0.1076(24),,,,
6d3/2,4f5/2,5309.5299,0.0063,5309.530(6),24.618176,0.091977,24.618(92),,,,
6d3/2,5f5/2,2281.812,0.0016,2281.812(2),3.9601362,0.1848389,3.96(18),,,,
6d3/2,6f5/2,1741.9502,0.0003,1741.9502(3),2.8938615,0.0602824,2.894(60),,,,
6d3/2,7f5/2,1524.5853,0.0002,1524.5853(2),2.120024,0.0478682,2.120(48),,,,
6d3/2,8f5/2,1410.4528,0.0002,1410.4528(2),1.6366337,0.0375045,1.637(38),,,,
6d3/2,9f5/2,1341.6528,0.0002,1341.6528(2),1.3159033,0.030195,1.316(30),,,,
6d3/2,10f5/2,1296.4545,0.0002,1296.4545(2),1.0903367,0.0249682,1.090(25),,,,
6d3/2,11f5/2,1264.9474,0.0002,1264.9474(2),0.9242395,0.0211098,0.924(21),,,,
6d3/2,12f5/2,1242.0047,0.0002,1242.0047(2),0.7977554,0.0180302,0.798(18),,,,
6d5/2,6p3/2,917.4834,0.0001,917.4834(1),6.1277531,0.0918171,6.128(92),,,,
6d5/2,7p3/2,14592.3773,0.554,14592.4(6),24.353532,0.05732,24.354(57),,,,
6d5/2,8p3/2,3164.7355,0.0301,3164.74(3),6.173526,0.2005302,6.17(20),,,,
6d5/2,9p3/2,1980.2012,0.0006,1980.2012(6),1.9659139,0.0274149,1.966(27),,,,
6d5/2,10p3/2,1633.4556,0.0004,1633.4556(4),1.0741961,0.0190362,1.074(19),,,,
6d5/2,11p3/2,1472.9411,0.0007,1472.9411(7),0.7142326,0.0136304,0.714(14),,,,
6d5/2,12p3/2,1382.6174,0.0006,1382.6174(6),0.5251424,0.0103783,0.525(10),,,,
6d5/2,13p3/2,1325.8218,0.0006,1325.8218(6),0.4102521,0.0082565,0.4103(83),,,,
6d5/2,14p3/2,1287.4194,0.0005,1287.4194(5),0.333667,0.0068041,0.3337(68),,,,
6d5/2,4f5/2,5433.1863,0.0066,5433.186(7),6.5991527,0.0221596,6.599(22),,,,
6d5/2,4f7/2,5433.7219,0.0066,5433.722(7),29.511131,0.099153,29.511(99),,,,
6d5/2,5f5/2,2304.351,0.0017,2304.351(2),1.1255602,0.0456505,1.126(46),,,,
6d5/2,5f7/2,2304.4304,0.0017,2304.430(2),5.0368935,0.2041361,5.04(20),,,,
6d5/2,6f5/2,1755.055,0.0003,1755.0550(3),0.8062283,0.0158564,0.806(16),,,,
6d5/2,6f7/2,1755.0876,0.0003,1755.0876(3),3.6073603,0.0711505,3.607(71),,,,
6d5/2,7f5/2,1534.6143,0.0002,1534.6143(2),0.5868022,0.0122696,0.587(12),,,,
6d5/2,7f7/2,1534.6316,0.0002,1534.6316(2),2.625446,0.0550358,2.625(55),,,,
6d5/2,8f5/2,1419.0322,0.0002,1419.0322(2),0.4515317,0.0095123,0.4515(95),,,,
6d5/2,8f7/2,1419.0429,0.0002,1419.0429(2),2.0201862,0.0426534,2.020(43),,,,
6d5/2,9f5/2,1349.4134,0.0002,1349.4134(2),0.3623458,0.0076144,0.3623(76),,,,
6d5/2,9f7/2,1349.4204,0.0002,1349.4204(2),1.6211395,0.0341405,1.621(34),,,,
6d5/2,10f5/2,1303.6995,0.0002,1303.6995(2),0.2998569,0.0062738,0.2999(63),,,,
6d5/2,10f7/2,1303.7045,0.0002,1303.7045(2),1.3415494,0.0281292,1.342(28),,,,
6d5/2,11f5/2,1271.8436,0.0002,1271.8436(2),0.2539562,0.0052915,0.2540(53),,,,
6d5/2,11f7/2,1271.8472,0.0002,1271.8472(2),1.1361819,0.0237257,1.136(24),,,,
6d5/2,12f5/2,1248.6524,0.0002,1248.6524(2),0.2190609,0.0045102,0.2191(45),,,,
6d5/2,12f7/2,1248.6551,0.0002,1248.6551(2),0.980057,0.0202226,0.980(20),,,,
7d3/2,6p1/2,672.5146,0,672.5146,2.0544471,0.0182964,2.054(18),,,,
7d3/2,6p3/2,698.5422,0,698.5422,0.9758287,0.0094958,0.9758(95),,,,
7d3/2,7p1/2,2335.0922,0.0109,2335.09(1),6.5516157,0.2217973,6.55(22),,,,
7d3/2,7p3/2,2438.1697,0.0155,2438.17(2),3.314924,0.1056448,3.31(11),,,,
7d3/2,8p1/2,29498.6295,0.0435,29498.63(4),31.971025,0.102692,31.97(10),,,,
7d3/2,8p3/2,39012.7892,4.5666,39013(5),14.352048,0.052744,14.352(53),,,,
7d3/2,9p1/2,6292.6231,0.0028,6292.623(3),9.0241465,0.1900019,9.02(19),,,,
7d3/2,9p3/2,6120.5354,0.0045,6120.535(5),3.5644055,0.0860789,3.564(86),,,,
7d3/2,10p1/2,3732.7666,0.001,3732.767(1),2.8598683,0.078428,2.860(78),,,,
7d3/2,10p3/2,3695.7063,0.0017,3695.706(2),1.164965,0.0363433,1.165(36),,,,
7d3/2,11p1/2,2980.1028,0.0005,2980.1028(5),1.553623,0.0432675,1.554(43),,,,
7d3/2,11p3/2,2964.7288,0.0027,2964.729(3),0.637306,0.0203282,0.637(20),,,,
7d3/2,12p1/2,2628.3991,0.0004,2628.3991(4),1.0292478,0.0287043,1.029(29),,,,
7d3/2,12p3/2,2620.1943,0.0021,2620.194(2),0.4232667,0.0135952,0.423(14),,,,
7d3/2,13p1/2,2428.4612,0.0003,2428.4612(3),0.7552863,0.0210552,0.755(21),,,,
7d3/2,13p3/2,2423.4529,0.0018,2423.453(2),0.3109572,0.0100146,0.311(10),,,,
7d3/2,14p1/2,2301.4761,0.0003,2301.4761(3),0.5895573,0.0164249,0.590(16),,,,
7d3/2,14p3/2,2298.1486,0.0016,2298.149(2),0.2428579,0.0078427,0.2429(78),,,,
7d3/2,4f5/2,6346.7591,0.0083,6346.759(8),13.028155,0.306136,13.03(31),,,,
7d3/2,5f5/2,10828.7362,0.0357,10828.74(4),43.410154,0.219285,43.41(22),,,,
7d3/2,6f5/2,4382.7373,0.0014,4382.737(1),1.8174171,0.3292477,1.82(33),,,,
7d3/2,7f5/2,3225.6529,0.0005,3225.6529(5),2.2083795,0.1978933,2.21(20),,,,
7d3/2,8f5/2,2754.1316,0.0004,2754.1316(4),1.817322,0.1318191,1.82(13),,,,
7d3/2,9f5/2,2503.4549,0.0003,2503.4549(3),1.4818845,0.0961353,1.482(96),,,,
7d3/2,10f5/2,2350.5458,0.0003,2350.5458(3),1.2311033,0.0744899,1.231(74),,,,
7d3/2,11f5/2,2248.9832,0.0003,2248.9832(3),1.042924,0.060187,1.043(60),,,,
7d3/2,12f5/2,2177.4699,0.0002,2177.4699(2),0.8989736,0.0498168,0.899(50),,,,
7d5/2,6p3/2,697.522,0,697.522,2.8925344,0.0256073,2.893(26),,,,
7d5/2,7p3/2,2425.7855,0.0153,2425.79(2),9.6418194,0.2939875,9.64(29),,,,
7d5/2,8p3/2,36066.5789,3.9029,36067(4),43.211063,0.147741,43.21(15),,,,
7d5/2,9p3/2,6199.9924,0.0046,6199.992(5),11.121478,0.248134,11.12(25),,,,
7d5/2,10p3/2,3724.5281,0.0017,3724.528(2),3.6093397,0.1018159,3.61(10),,,,
7d5/2,11p3/2,2983.2482,0.0027,2983.248(3),1.9709925,0.0565431,1.971(57),,,,
7d5/2,12p3/2,2634.649,0.0021,2634.649(2),1.3081348,0.0376873,1.308(38),,,,
7d5/2,13p3/2,2435.8133,0.0018,2435.813(2),0.9607244,0.0277052,0.961(28),,,,
7d5/2,14p3/2,2309.2608,0.0016,2309.261(2),0.7502001,0.0216695,0.750(22),,,,
7d5/2,4f5/2,6263.521,0.0081,6263.521(8),3.4205594,0.0767947,3.421(77),,,,
7d5/2,4f7/2,6262.8094,0.0081,6262.809(8),15.294527,0.343711,15.29(34),,,,
7d5/2,5f5/2,11079.9641,0.0373,11079.96(4),11.661143,0.055041,11.661(55),,,,
7d5/2,5f7/2,11081.7998,0.0374,11081.80(4),52.150078,0.246013,52.15(25),,,,
7d5/2,6f5/2,4423.3298,0.0014,4423.330(1),0.5845797,0.0864687,0.585(86),,,,
7d5/2,6f7/2,4423.5368,0.0014,4423.537(1),2.619829,0.3874886,2.62(39),,,,
7d5/2,7f5/2,3247.5875,0.0005,3247.5875(5),0.640641,0.0507249,0.641(51),,,,
7d5/2,7f7/2,3247.6652,0.0006,3247.6652(6),2.8680146,0.2272721,2.87(23),,,,
7d5/2,8f5/2,2770.1063,0.0004,2770.1063(4),0.5174633,0.0334762,0.517(33),,,,
7d5/2,8f7/2,2770.147,0.0006,2770.1470(6),2.3161504,0.1499636,2.32(15),,,,
7d5/2,9f5/2,2516.647,0.0003,2516.6470(3),0.4185676,0.0242912,0.419(24),,,,
7d5/2,9f7/2,2516.6716,0.0005,2516.6716(5),1.8733433,0.1088155,1.87(11),,,,
7d5/2,10f5/2,2362.1718,0.0003,2362.1718(3),0.3461783,0.0187624,0.346(19),,,,
7d5/2,10f7/2,2362.1881,0.0003,2362.1881(3),1.549285,0.0840498,1.549(84),,,,
7d5/2,11f5/2,2259.624,0.0003,2259.6240(3),0.2924345,0.0151273,0.292(15),,,,
7d5/2,11f7/2,2259.6354,0.0003,2259.6354(3),1.3087192,0.0677685,1.309(68),,,,
7d5/2,12f5/2,2187.4432,0.0002,2187.4432(2),0.2515794,0.0124973,0.252(12),,,,
7d5/2,12f7/2,2187.4516,0.0003,2187.4516(3),1.1258587,0.055988,1.126(56),,,,
8d3/2,6p1/2,601.2155,0,601.2155,1.2969804,0.015805,1.297(16),,,,
8d3/2,6p3/2,621.9318,0,621.9318,0.6071079,0.0076906,0.6071(77),,,,
8d3/2,7p1/2,1654.0157,0.0055,1654.016(5),3.1655478,0.0601994,3.166(60),,,,
8d3/2,7p3/2,1705.0755,0.0076,1705.075(8),1.5333551,0.0254642,1.533(25),,,,
8d3/2,8p1/2,4756.4584,0.0011,4756.458(1),9.185741,0.395146,9.19(40),,,,
8d3/2,8p3/2,4951.1519,0.0736,4951.15(7),4.7169841,0.1891315,4.72(19),,,,
8d3/2,9p1/2,57390.983,0.2329,57391.0(2),49.287659,0.132033,49.29(13),,,,
8d3/2,9p3/2,77183.2438,0.7198,77183.2(7),22.135524,0.072458,22.136(72),,,,
8d3/2,10p1/2,10922.1303,0.0084,10922.130(8),14.204301,0.421506,14.20(42),,,,
8d3/2,10p3/2,10610.79,0.0136,10610.79(1),5.6196271,0.1927551,5.62(19),,,,
8d3/2,11p1/2,6280.6847,0.002,6280.685(2),4.5109805,0.1344598,4.51(13),,,,
8d3/2,11p3/2,6212.7854,0.0117,6212.79(1),1.8443463,0.063632,1.844(64),,,,
8d3/2,12p1/2,4899.0994,0.0012,4899.099(1),2.4392599,0.0704455,2.439(70),,,,
8d3/2,12p3/2,4870.6715,0.0072,4870.671(7),1.0054733,0.0339222,1.005(34),,,,
8d3/2,13p1/2,4247.3158,0.0009,4247.3158(9),1.6095424,0.0456758,1.610(46),,,,
8d3/2,13p3/2,4232.0196,0.0054,4232.020(5),0.6656076,0.0221788,0.666(22),,,,
8d3/2,14p1/2,3873.5191,0.0008,3873.5191(8),1.1777956,0.0330821,1.178(33),,,,
8d3/2,14p3/2,3864.1026,0.0045,3864.103(5),0.4878112,0.0161589,0.488(16),,,,
8d3/2,4f5/2,2994.8969,0.0018,2994.897(2),2.487411,0.0295675,2.487(30),,,,
8d3/2,5f5/2,11905.6548,0.0431,11905.65(4),26.050773,0.629458,26.05(63),,,,
8d3/2,6f5/2,19294.8392,0.0263,19294.84(3),65.221052,0.512172,65.22(51),,,,
8d3/2,7f5/2,7480.8763,0.0029,7480.876(3),0.3258579,0.2552011,0.33(26),,,,
8d3/2,8f5/2,5354.7443,0.0015,5354.744(1),1.4719922,0.3196941,1.47(32),,,,
8d3/2,9f5/2,4482.1463,0.001,4482.146(1),1.4617614,0.2096797,1.46(21),,,,
8d3/2,10f5/2,4014.5724,0.0008,4014.5724(8),1.2803598,0.151937,1.28(15),,,,
8d3/2,11f5/2,3727.1043,0.0007,3727.1043(7),1.1059397,0.1173675,1.11(12),,,,
8d3/2,12f5/2,3534.7178,0.0006,3534.7178(6),0.9613422,0.0941597,0.961(94),,,,
8d5/2,6p3/2,621.4819,0,621.4819,1.8073375,0.020982,1.807(21),,,,
8d5/2,7p3/2,1701.698,0.0075,1701.698(8),4.5163961,0.0738392,4.516(74),,,,
8d5/2,8p3/2,4922.7808,0.0727,4922.78(7),13.661793,0.524823,13.66(52),,,,
8d5/2,9p3/2,70820.5266,0.606,70820.5(6),66.574855,0.198454,66.57(20),,,,
8d5/2,10p3/2,10743.4846,0.0139,10743.48(1),17.520581,0.547576,17.52(55),,,,
8d5/2,11p3/2,6258.0424,0.0119,6258.04(1),5.7032872,0.1771733,5.70(18),,,,
8d5/2,12p3/2,4898.4435,0.0073,4898.444(7),3.1024426,0.0938697,3.102(94),,,,
8d5/2,13p3/2,4252.9704,0.0055,4252.970(6),2.0519298,0.0611856,2.052(61),,,,
8d5/2,14p3/2,3881.5614,0.0046,3881.561(5),1.5031508,0.0445003,1.503(45),,,,
8d5/2,4f5/2,2984.4926,0.0018,2984.493(2),0.6659681,0.0070243,0.6660(70),,,,
8d5/2,4f7/2,2984.331,0.0018,2984.331(2),2.9780844,0.0313952,2.978(31),,,,
8d5/2,5f5/2,11742.9166,0.0419,11742.92(4),6.8445522,0.1583134,6.84(16),,,,
8d5/2,5f7/2,11740.8554,0.0419,11740.86(4),30.603045,0.708783,30.60(71),,,,
8d5/2,6f5/2,19738.1498,0.0275,19738.15(3),17.539534,0.127425,17.54(13),,,,
8d5/2,6f7/2,19742.2725,0.0276,19742.27(3),78.441241,0.569881,78.44(57),,,,
8d5/2,7f5/2,7546.5911,0.0029,7546.591(3),0.0449624,0.1469876,0.04(15),,,,
8d5/2,7f7/2,7547.0109,0.0033,7547.011(3),0.2090593,0.658625,0.21(66),,,,
8d5/2,8f5/2,5388.3299,0.0015,5388.330(1),0.462015,0.0817721,0.462(82),,,,
8d5/2,8f7/2,5388.4841,0.0023,5388.484(2),2.0705161,0.3662921,2.07(37),,,,
8d5/2,9f5/2,4505.6536,0.001,4505.654(1),0.4343228,0.0532435,0.434(53),,,,
8d5/2,9f7/2,4505.7326,0.0017,4505.733(2),1.9451813,0.2384855,1.95(24),,,,
8d5/2,10f5/2,4033.4208,0.0008,4033.4208(8),0.3733321,0.0384231,0.373(38),,,,
8d5/2,10f7/2,4033.4681,0.0009,4033.4681(9),1.6716514,0.1721024,1.67(17),,,,
8d5/2,11f5/2,3743.3445,0.0007,3743.3445(7),0.3194037,0.0296029,0.319(30),,,,
8d5/2,11f7/2,3743.3757,0.0008,3743.3757(8),1.430012,0.1325997,1.43(13),,,,
8d5/2,12f5/2,3549.3214,0.0006,3549.3214(6),0.2760337,0.0236983,0.276(24),,,,
8d5/2,12f7/2,3549.3433,0.0007,3549.3433(7),1.2357527,0.1061532,1.24(11),,,,
9d3/2,6p1/2,566.559,0,566.559,0.9253764,0.0122116,0.925(12),,,,
9d3/2,6p3/2,584.9193,0,584.9193,0.4299777,0.0058123,0.4300(58),,,,
9d3/2,7p1/2,1415.762,0.004,1415.762(4),2.0070621,0.0289771,2.007(29),,,,
9d3/2,7p3/2,1453.0058,0.0055,1453.006(5),0.9563584,0.0112755,0.956(11),,,,
9d3/2,8p1/2,3205.2858,0.0005,3205.2858(5),4.3773652,0.1132562,4.38(11),,,,
9d3/2,8p3/2,3292.5344,0.0325,3292.53(3),2.1480314,0.0493724,2.148(49),,,,
9d3/2,9p1/2,8391.4765,0.005,8391.476(5),12.190075,0.598386,12.19(60),,,,
9d3/2,9p3/2,8718.3669,0.0092,8718.367(9),6.3255372,0.287353,6.33(29),,,,
9d3/2,10p1/2,98164.6162,0.6814,98164.6(7),69.990721,0.141481,69.99(14),,,,
9d3/2,10p3/2,133324.2673,2.1478,133324(2),31.445913,0.084114,31.446(84),,,,
9d3/2,11p1/2,17399.1385,0.0154,17399.14(2),20.541737,0.681969,20.54(68),,,,
9d3/2,11p3/2,16887.8411,0.0867,16887.84(9),8.1398078,0.3111771,8.14(31),,,,
9d3/2,12p1/2,9768.0145,0.0049,9768.015(5),6.5102166,0.1955546,6.51(20),,,,
9d3/2,12p3/2,9655.6505,0.0284,9655.65(3),2.6695109,0.0936409,2.670(94),,,,
9d3/2,13p1/2,7479.5088,0.0029,7479.509(3),3.5028634,0.0994731,3.503(99),,,,
9d3/2,13p3/2,7432.2034,0.0168,7432.20(2),1.4492485,0.0485518,1.449(49),,,,
9d3/2,14p1/2,6393.0861,0.0021,6393.086(2),2.3017988,0.0635189,2.302(64),,,,
9d3/2,14p3/2,6367.476,0.0123,6367.48(1),0.9558126,0.0313316,0.956(31),,,,
9d3/2,4f5/2,2295.4443,0.0011,2295.444(1),1.1964109,0.0145985,1.196(15),,,,
9d3/2,5f5/2,5383.9308,0.0088,5383.931(9),4.977501,0.0574293,4.978(57),,,,
9d3/2,6f5/2,20033.3074,0.0284,20033.31(3),42.002828,1.019856,42.0(10),,,,
9d3/2,7f5/2,31318.5289,0.05,31318.53(5),90.507932,0.860949,90.51(86),,,,
9d3/2,8f5/2,11763.8644,0.0071,11763.864(7),2.6895011,0.7952271,2.69(80),,,,
9d3/2,9f5/2,8239.73,0.0035,8239.730(3),0.638431,0.442131,0.64(44),,,,
9d3/2,10f5/2,6786.6395,0.0023,6786.640(2),1.0426618,0.288559,1.04(29),,,,
9d3/2,11f5/2,6003.8205,0.0018,6003.820(2),1.0313739,0.2086952,1.03(21),,,,
9d3/2,12f5/2,5519.8659,0.0016,5519.866(2),0.9440258,0.1602246,0.94(16),,,,
9d5/2,6p3/2,584.6762,0,584.6762,1.2828356,0.0159405,1.283(16),,,,
9d5/2,7p3/2,1451.5063,0.0055,1451.506(5),2.829939,0.033589,2.830(34),,,,
9d5/2,8p3/2,3284.8448,0.0324,3284.84(3),6.3019094,0.1410588,6.30(14),,,,
9d5/2,9p3/2,8664.6576,0.0084,8664.658(8),18.265758,0.79611,18.27(80),,,,
9d5/2,10p3/2,121780.4299,1.6581,121780(2),94.51042,0.225833,94.51(23),,,,
9d5/2,11p3/2,17093.0792,0.0878,17093.08(9),25.357374,0.879641,25.36(88),,,,
9d5/2,12p3/2,9722.3955,0.0284,9722.40(3),8.2430497,0.2598302,8.24(26),,,,
9d5/2,13p3/2,7471.6855,0.0168,7471.69(2),4.4641946,0.1338948,4.46(13),,,,
9d5/2,14p3/2,6396.434,0.0123,6396.43(1),2.9412136,0.0861485,2.941(86),,,,
9d5/2,4f5/2,2291.7041,0.0011,2291.704(1),0.3213224,0.0035022,0.3213(35),,,,
9d5/2,4f7/2,2291.6089,0.0011,2291.609(1),1.4369127,0.0156542,1.437(16),,,,
9d5/2,5f5/2,5363.4001,0.0086,5363.400(9),1.3341972,0.0136595,1.334(14),,,,
9d5/2,5f7/2,5362.9701,0.0086,5362.970(9),5.9664616,0.0610476,5.966(61),,,,
9d5/2,6f5/2,19751.9706,0.021,19751.97(2),11.041112,0.25683,11.04(26),,,,
9d5/2,6f7/2,19747.8437,0.021,19747.84(2),49.365498,1.150023,49.4(12),,,,
9d5/2,7f5/2,32031.7858,0.0229,32031.79(2),24.356563,0.213704,24.36(21),,,,
9d5/2,7f7/2,32039.3494,0.037,32039.35(4),108.93103,0.95603,108.93(96),,,,
9d5/2,8f5/2,11863.0872,0.0031,11863.087(3),0.5504065,0.2065424,0.55(21),,,,
9d5/2,8f7/2,11863.8345,0.0089,11863.835(9),2.4506569,0.9253891,2.45(93),,,,
9d5/2,9f5/2,8288.2858,0.0015,8288.286(2),0.2587967,0.113082,0.26(11),,,,
9d5/2,9f7/2,8288.553,0.005,8288.553(5),1.1631367,0.5065408,1.16(51),,,,
9d5/2,10f5/2,6819.5454,0.001,6819.545(1),0.3349828,0.0733229,0.335(73),,,,
9d5/2,10f7/2,6819.6808,0.0013,6819.681(1),1.5018306,0.3284269,1.50(33),,,,
9d5/2,11f5/2,6029.5586,0.0008,6029.5586(8),0.3159284,0.0528329,0.316(53),,,,
9d5/2,11f7/2,6029.6397,0.001,6029.640(1),1.4155809,0.2366509,1.42(24),,,,
9d5/2,12f5/2,5541.6144,0.0007,5541.6144(7),0.2831871,0.0404517,0.283(40),,,,
9d5/2,12f7/2,5541.6678,0.0009,5541.6678(9),1.2685475,0.1811935,1.27(18),,,,
10d3/2,6p1/2,546.7463,0,546.7463,0.7080608,0.0096328,0.7081(96),,,,
10d3/2,6p3/2,563.8256,0,563.8256,0.3275836,0.0045331,0.3276(45),,,,
10d3/2,7p1/2,1298.2057,0.0034,1298.206(3),1.4399919,0.0175611,1.440(18),,,,
10d3/2,7p3/2,1329.453,0.0046,1329.453(5),0.680342,0.0064554,0.6803(65),,,,
10d3/2,8p1/2,2659.9619,0.0004,2659.9619(4),2.7644772,0.056305,2.764(56),,,,
10d3/2,8p3/2,2719.7713,0.0222,2719.77(2),1.3332537,0.0232191,1.333(23),,,,
10d3/2,9p1/2,5460.628,0.0021,5460.628(2),5.7259694,0.1764847,5.73(18),,,,
10d3/2,9p3/2,5597.1937,0.0038,5597.194(4),2.8366046,0.0780035,2.837(78),,,,
10d3/2,10p1/2,13486.6223,0.0129,13486.62(1),15.576259,0.83414,15.58(83),,,,
10d3/2,10p3/2,13993.6293,0.0237,13993.63(2),8.1467078,0.4014739,8.15(40),,,,
10d3/2,11p1/2,154167.0585,1.2119,154167(1),94.095313,0.167014,94.10(17),,,,
10d3/2,11p3/2,210686.8814,13.5004,210690(10),42.289464,0.089789,42.289(90),,,,
10d3/2,12p1/2,26031.925,0.0346,26031.93(3),28.034844,0.975853,28.03(98),,,,
