Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
10d3/2,12p3/2,25248.8782,0.1939,25248.9(2),11.124038,0.445464,11.12(45),,,,
10d3/2,13p1/2,14339.3763,0.0105,14339.38(1),8.856053,0.2631158,8.86(26),,,,
10d3/2,13p3/2,14166.5092,0.061,14166.51(6),3.6399516,0.1269373,3.64(13),,,,
10d3/2,14p1/2,10815.6749,0.006,10815.675(6),4.7426396,0.1310083,4.74(13),,,,
10d3/2,14p3/2,10742.5786,0.0351,10742.58(4),1.9677961,0.0646255,1.968(65),,,,
10d3/2,4f5/2,2001.5769,0.0008,2001.5769(8),0.7511887,0.0095226,0.7512(95),,,,
10d3/2,5f5/2,4004.8301,0.0049,4004.830(5),2.3864037,0.0301504,2.386(30),,,,
10d3/2,6f5/2,8781.3698,0.0055,8781.370(5),7.9683713,0.0910738,7.968(91),,,,
10d3/2,7f5/2,31220.1457,0.0497,31220.15(5),61.035148,1.479626,61.0(15),,,,
10d3/2,8f5/2,47516.0961,0.1151,47516.1(1),119.38612,1.26631,119.4(13),,,,
10d3/2,9f5/2,17420.8076,0.0155,17420.81(2),5.3474324,1.037338,5.3(10),,,,
10d3/2,10f5/2,11992.1691,0.0073,11992.169(7),0.31115,0.0827817,0.311(83),,,,
10d3/2,11f5/2,9746.5858,0.0048,9746.586(5),0.5551915,0.3715437,0.56(37),,,,
10d3/2,12f5/2,8532.1873,0.0037,8532.187(4),0.7362611,0.266887,0.74(27),,,,
10d5/2,6p3/2,563.6778,0,563.6778,0.9786216,0.0124702,0.979(12),,,,
10d5/2,7p3/2,1328.6312,0.0046,1328.631(5),2.017994,0.0194507,2.018(19),,,,
10d5/2,8p3/2,2716.3344,0.0221,2716.33(2),3.9303599,0.0674681,3.930(67),,,,
10d5/2,9p3/2,5582.6572,0.0035,5582.657(3),8.2984109,0.2214875,8.30(22),,,,
10d5/2,10p3/2,13903.1203,0.0216,13903.12(2),23.471384,1.111139,23.5(11),,,,
10d5/2,11p3/2,191880.0213,11.0699,191880(10),127.03661,0.23561,127.04(24),,,,
10d5/2,12p3/2,25548.9773,0.1963,25549.0(2),34.629654,1.256044,34.6(13),,,,
10d5/2,13p3/2,14260.4916,0.0611,14260.49(6),11.227134,0.35138,11.23(35),,,,
10d5/2,14p3/2,10796.5349,0.035,10796.53(4),6.0537547,0.1777882,6.05(18),,,,
10d5/2,4f5/2,1999.7148,0.0008,1999.7148(8),0.2018639,0.00305,0.2019(31),,,,
10d5/2,4f7/2,1999.6423,0.0008,1999.6423(8),0.9027128,0.0136253,0.903(14),,,,
10d5/2,5f5/2,3997.3827,0.0048,3997.383(5),0.6417709,0.0069288,0.6418(69),,,,
10d5/2,5f7/2,3997.1438,0.0048,3997.144(5),2.8700493,0.0309705,2.870(31),,,,
10d5/2,6f5/2,8745.6423,0.0041,8745.642(4),2.1379729,0.0216822,2.138(22),,,,
10d5/2,6f7/2,8744.8331,0.0041,8744.833(4),9.5611647,0.0968992,9.561(97),,,,
10d5/2,7f5/2,30773.1981,0.0212,30773.20(2),16.049797,0.372919,16.05(37),,,,
10d5/2,7f7/2,30766.2204,0.0341,30766.22(3),71.759056,1.670104,71.8(17),,,,
10d5/2,8f5/2,48590.1802,0.0528,48590.18(5),32.143139,0.314036,32.14(31),,,,
10d5/2,8f7/2,48602.7204,0.1494,48602.7(1),143.75769,1.40502,143.8(14),,,,
10d5/2,9f5/2,17563.1452,0.0069,17563.145(7),1.2208593,0.269285,1.22(27),,,,
10d5/2,9f7/2,17564.3452,0.0225,17564.35(2),5.4459594,1.2065382,5.4(12),,,,
10d5/2,10f5/2,12059.4473,0.0033,12059.447(3),0.0262177,0.1461442,0.03(15),,,,
10d5/2,10f7/2,12059.8705,0.0041,12059.871(4),0.1245705,0.6546668,0.12(65),,,,
10d5/2,11f5/2,9790.9802,0.0021,9790.980(2),0.2183197,0.0944859,0.218(94),,,,
10d5/2,11f7/2,9791.194,0.0027,9791.194(3),0.9810736,0.4232424,0.98(42),,,,
10d5/2,12f5/2,8566.1888,0.0016,8566.189(2),0.2468336,0.0676121,0.247(68),,,,
10d5/2,12f7/2,8566.3164,0.0021,8566.316(2),1.1072814,0.3028578,1.11(30),,,,
10d5/2,6p3/2,563.6778,0,563.6778,0.9786216,0.0124702,0.979(12),,,,
10d5/2,7p3/2,1328.6312,0.0046,1328.631(5),2.017994,0.0194507,2.018(19),,,,
10d5/2,8p3/2,2716.3344,0.0221,2716.33(2),3.9303599,0.0674681,3.930(67),,,,
10d5/2,9p3/2,5582.6572,0.0035,5582.657(3),8.2984109,0.2214875,8.30(22),,,,
10d5/2,10p3/2,13903.1203,0.0216,13903.12(2),23.471384,1.111139,23.5(11),,,,
10d5/2,11p3/2,191880.0213,11.0699,191880(10),127.03661,0.23561,127.04(24),,,,
10d5/2,12p3/2,25548.9773,0.1963,25549.0(2),34.629654,1.256044,34.6(13),,,,
10d5/2,13p3/2,14260.4916,0.0611,14260.49(6),11.227134,0.35138,11.23(35),,,,
10d5/2,14p3/2,10796.5349,0.035,10796.53(4),6.0537547,0.1777882,6.05(18),,,,
10d5/2,4f5/2,1999.7148,0.0008,1999.7148(8),0.2018639,0.00305,0.2019(31),,,,
10d5/2,4f7/2,1999.6423,0.0008,1999.6423(8),0.9027128,0.0136253,0.903(14),,,,
10d5/2,5f5/2,3997.3827,0.0048,3997.383(5),0.6417709,0.0069288,0.6418(69),,,,
10d5/2,5f7/2,3997.1438,0.0048,3997.144(5),2.8700493,0.0309705,2.870(31),,,,
10d5/2,6f5/2,8745.6423,0.0041,8745.642(4),2.1379729,0.0216822,2.138(22),,,,
10d5/2,6f7/2,8744.8331,0.0041,8744.833(4),9.5611647,0.0968992,9.561(97),,,,
10d5/2,7f5/2,30773.1981,0.0212,30773.20(2),16.049797,0.372919,16.05(37),,,,
10d5/2,7f7/2,30766.2204,0.0341,30766.22(3),71.759056,1.670104,71.8(17),,,,
10d5/2,8f5/2,48590.1802,0.0528,48590.18(5),32.143139,0.314036,32.14(31),,,,
10d5/2,8f7/2,48602.7204,0.1494,48602.7(1),143.75769,1.40502,143.8(14),,,,
10d5/2,9f5/2,17563.1452,0.0069,17563.145(7),1.2208593,0.269285,1.22(27),,,,
10d5/2,9f7/2,17564.3452,0.0225,17564.35(2),5.4459594,1.2065382,5.4(12),,,,
10d5/2,10f5/2,12059.4473,0.0033,12059.447(3),0.0262177,0.1461442,0.03(15),,,,
10d5/2,10f7/2,12059.8705,0.0041,12059.871(4),0.1245705,0.6546668,0.12(65),,,,
10d5/2,11f5/2,9790.9802,0.0021,9790.980(2),0.2183197,0.0944859,0.218(94),,,,
10d5/2,11f7/2,9791.194,0.0027,9791.194(3),0.9810736,0.4232424,0.98(42),,,,
10d5/2,12f5/2,8566.1888,0.0016,8566.189(2),0.2468336,0.0676121,0.247(68),,,,
10d5/2,12f7/2,8566.3164,0.0021,8566.316(2),1.1072814,0.3028578,1.11(30),,,,
11d3/2,6p1/2,534.2431,0,534.2431,0.5668112,0.0078209,0.5668(78),,,,
11d3/2,6p3/2,550.5385,0,550.5385,0.2615096,0.0036555,0.2615(37),,,,
11d3/2,7p1/2,1229.8623,0.003,1229.862(3),1.1080593,0.0120455,1.108(12),,,,
11d3/2,7p3/2,1257.8707,0.0041,1257.871(4),0.5208533,0.0052613,0.5209(53),,,,
11d3/2,8p1/2,2388.0571,0.0003,2388.0571(3),1.9822829,0.0350676,1.982(35),,,,
11d3/2,8p3/2,2436.1534,0.0178,2436.15(2),0.9473219,0.0138997,0.947(14),,,,
11d3/2,9p1/2,4426.0649,0.0014,4426.065(1),3.5932263,0.0888798,3.593(89),,,,
11d3/2,9p3/2,4515.3623,0.0025,4515.362(2),1.7485564,0.0375466,1.749(38),,,,
11d3/2,10p1/2,8550.4609,0.0052,8550.461(5),7.2210518,0.2501432,7.22(25),,,,
11d3/2,10p3/2,8751.4867,0.0093,8751.487(9),3.603617,0.1114562,3.60(11),,,,
11d3/2,11p1/2,20287.3994,0.021,20287.40(2),19.348661,1.103448,19.3(11),,,,
11d3/2,11p3/2,21029.791,0.1345,21029.8(1),10.182796,0.5319699,10.18(53),,,,
11d3/2,12p1/2,227746.8548,2.6448,227747(3),121.60691,0.21467,121.61(21),,,,
11d3/2,12p3/2,312549.8126,29.7105,312550(30),54.668489,0.092435,54.668(92),,,,
11d3/2,13p1/2,37129.4068,0.0703,37129.41(7),36.683747,1.306612,36.7(13),,,,
11d3/2,13p3/2,35992.1839,0.394,35992.2(4),14.573017,0.596521,14.57(60),,,,
11d3/2,14p1/2,20139.6929,0.0207,20139.69(2),11.54772,0.337676,11.55(34),,,,
11d3/2,14p3/2,19887.71,0.1203,19887.7(1),4.7551507,0.1639991,4.76(16),,,,
11d3/2,4f5/2,1843.6194,0.0007,1843.6194(7),0.5349904,0.00716,0.5350(72),,,,
11d3/2,5f5/2,3418.7603,0.0036,3418.760(4),1.4942766,0.0214013,1.494(21),,,,
11d3/2,6f5/2,6382.3272,0.0029,6382.327(3),3.7994855,0.0533277,3.799(53),,,,
11d3/2,7f5/2,13362.5867,0.0091,13362.587(9),11.471053,0.131065,11.47(13),,,,
11d3/2,8f5/2,45956.4948,0.1077,45956.5(1),83.193031,2.01026,83.2(20),,,,
11d3/2,9f5/2,68505.3033,0.2393,68505.3(2),151.89711,1.72943,151.9(17),,,,
11d3/2,10f5/2,24641.1388,0.031,24641.14(3),8.3311972,1.2970886,8.3(13),,,,
11d3/2,11f5/2,16723.8567,0.0143,16723.86(1),1.3858543,0.7092777,1.39(71),,,,
11d3/2,12f5/2,13441.2161,0.0092,13441.216(9),0.0006341,0.4563955,0.00(46),,,,
11d5/2,6p3/2,550.4414,0,550.4414,0.7819033,0.0100758,0.782(10),,,,
11d5/2,7p3/2,1257.3635,0.0041,1257.364(4),1.547156,0.0143561,1.547(14),,,,
11d5/2,8p3/2,2434.2518,0.0178,2434.25(2),2.7997014,0.0408793,2.800(41),,,,
11d5/2,9p3/2,4508.8342,0.0023,4508.834(2),5.1406095,0.1080608,5.14(11),,,,
11d5/2,10p3/2,8726.9973,0.0085,8726.997(9),10.519365,0.315435,10.52(32),,,,
11d5/2,11p3/2,20888.9327,0.1312,20888.9(1),29.285513,1.471408,29.3(15),,,,
11d5/2,12p3/2,284079.6105,24.2641,284080(20),164.16044,0.25975,164.16(26),,,,
11d5/2,13p3/2,36412.4158,0.3986,36412.4(4),45.339459,1.679471,45.3(17),,,,
11d5/2,14p3/2,20015.3478,0.1205,20015.3(1),14.653936,0.453249,14.65(45),,,,
11d5/2,4f5/2,1842.5302,0.0007,1842.5302(7),0.1439264,0.0016329,0.1439(16),,,,
11d5/2,4f7/2,1842.4686,0.0007,1842.4686(7),0.6436222,0.0072958,0.6436(73),,,,
11d5/2,5f5/2,3415.0167,0.0035,3415.017(4),0.4023295,0.0048995,0.4023(49),,,,
11d5/2,5f7/2,3414.8423,0.0035,3414.842(4),1.7992666,0.0218873,1.799(22),,,,
11d5/2,6f5/2,6369.2925,0.0022,6369.292(2),1.0229522,0.0121326,1.023(12),,,,
11d5/2,6f7/2,6368.8633,0.0022,6368.863(2),4.5748901,0.0541927,4.575(54),,,,
11d5/2,7f5/2,13305.5761,0.004,13305.576(4),3.0803027,0.0312257,3.080(31),,,,
11d5/2,7f7/2,13304.2715,0.0064,13304.271(6),13.77564,0.139546,13.78(14),,,,
11d5/2,8f5/2,45289.1167,0.0459,45289.12(5),21.882559,0.50701,21.88(51),,,,
11d5/2,8f7/2,45278.2279,0.1297,45278.2(1),97.836833,2.270542,97.8(23),,,,
11d5/2,9f5/2,70043.9035,0.1097,70043.9(1),40.91035,0.428753,40.91(43),,,,
11d5/2,9f7/2,70062.9936,0.3574,70063.0(4),182.97061,1.9185,183.0(19),,,,
11d5/2,10f5/2,24837.3834,0.0138,24837.38(1),1.9747064,0.336765,1.97(34),,,,
11d5/2,10f7/2,24839.1787,0.0175,24839.18(2),8.8139698,1.5089653,8.8(15),,,,
11d5/2,11f5/2,16814.022,0.0063,16814.022(6),0.2380555,0.1816061,0.24(18),,,,
11d5/2,11f7/2,16814.6524,0.008,16814.652(8),1.0556247,0.8135752,1.06(81),,,,
11d5/2,12f5/2,13499.3975,0.0041,13499.398(4),0.0844259,0.1164536,0.08(12),,,,
11d5/2,12f7/2,13499.7146,0.0052,13499.715(5),0.3833456,0.5216647,0.38(52),,,,
12d3/2,6p1/2,525.803,0,525.803,0.4683172,0.0065098,0.4683(65),,,,
12d3/2,6p3/2,541.5801,0,541.5801,0.21566,0.0030291,0.2157(30),,,,
12d3/2,7p1/2,1186.0359,0.0028,1186.036(3),0.8918196,0.0089346,0.8918(89),,,,
12d3/2,7p3/2,1212.0625,0.0038,1212.063(4),0.4178099,0.0043571,0.4178(44),,,,
12d3/2,8p1/2,2228.1834,0.0002,2228.1834(2),1.5268072,0.0246225,1.527(25),,,,
12d3/2,8p3/2,2269.999,0.0155,2270.00(2),0.7255934,0.0094714,0.7256(95),,,,
12d3/2,9p1/2,3906.5557,0.0011,3906.556(1),2.5688535,0.0558262,2.569(56),,,,
12d3/2,9p3/2,3975.9564,0.0019,3975.956(2),1.2382102,0.0228711,1.238(23),,,,
12d3/2,10p1/2,6802.7951,0.0033,6802.795(3),4.5004437,0.1267722,4.50(13),,,,
12d3/2,10p3/2,6929.4336,0.0058,6929.434(6),2.205479,0.0542805,2.205(54),,,,
12d3/2,11p1/2,12604.4086,0.0081,12604.409(8),8.8665806,0.3343158,8.87(33),,,,
12d3/2,11p3/2,12887.058,0.0505,12887.06(5),4.4509256,0.1497646,4.45(15),,,,
12d3/2,12p1/2,29038.9726,0.043,29038.97(4),23.509348,1.406714,23.5(14),,,,
12d3/2,12p3/2,30079.5936,0.2752,30079.6(3),12.43532,0.679469,12.44(68),,,,
12d3/2,13p1/2,321253.1443,5.2624,321253(5),152.5278,0.26889,152.53(27),,,,
12d3/2,13p3/2,442119.8764,59.4499,442120(60),68.583812,0.115316,68.58(12),,,,
12d3/2,14p1/2,51000.7625,0.1326,51000.8(1),46.48899,1.675697,46.5(17),,,,
12d3/2,14p3/2,49415.2447,0.7427,49415.2(7),18.485897,0.766099,18.49(77),,,,
12d3/2,4f5/2,1746.8563,0.0006,1746.8563(6),0.4097036,0.0056507,0.4097(57),,,,
12d3/2,5f5/2,3100.301,0.0029,3100.301(3),1.0623098,0.0160743,1.062(16),,,,
12d3/2,6f5/2,5355.3746,0.002,5355.375(2),2.3697586,0.037653,2.370(38),,,,
12d3/2,7f5/2,9534.5745,0.0046,9534.575(5),5.4366559,0.0833697,5.437(83),,,,
12d3/2,8f5/2,19303.0257,0.019,19303.03(2),15.485494,0.177608,15.49(18),,,,
12d3/2,9f5/2,64732.335,0.2137,64732.3(2),108.49482,2.61237,108.5(26),,,,
12d3/2,10f5/2,94904.5735,0.4593,94904.6(5),188.05927,2.25093,188.1(23),,,,
12d3/2,11f5/2,33614.3719,0.0576,33614.37(6),11.656551,1.577195,11.7(16),,,,
12d3/2,12f5/2,22546.6993,0.0259,22546.70(3),2.5863489,0.8533215,2.59(85),,,,
12d5/2,6p3/2,541.5126,0,541.5126,0.6452021,0.0083608,0.6452(84),,,,
12d5/2,7p3/2,1211.7245,0.0038,1211.724(4),1.2422609,0.0119155,1.242(12),,,,
12d5/2,8p3/2,2268.8135,0.0154,2268.81(2),2.1477192,0.0281183,2.148(28),,,,
12d5/2,9p3/2,3972.3209,0.0018,3972.321(2),3.6497594,0.0664417,3.650(66),,,,
12d5/2,10p3/2,6918.3981,0.0054,6918.398(5),6.4702994,0.1554489,6.47(16),,,,
12d5/2,11p3/2,12848.9419,0.0496,12848.94(5),12.970323,0.423032,12.97(42),,,,
12d5/2,12p3/2,29872.754,0.2683,29872.8(3),35.71274,1.878882,35.7(19),,,,
12d5/2,13p3/2,401280.8886,48.4151,401280(50),205.88434,0.32412,205.88(32),,,,
12d5/2,14p3/2,49983.8052,0.7512,49983.8(8),57.484067,2.155289,57.5(22),,,,
12d5/2,4f5/2,1746.1541,0.0006,1746.1541(6),0.1102564,0.0012935,0.1103(13),,,,
12d5/2,4f7/2,1746.0988,0.0006,1746.0988(6),0.4930538,0.0057797,0.4931(58),,,,
12d5/2,5f5/2,3098.09,0.0029,3098.090(3),0.286187,0.0037042,0.2862(37),,,,
12d5/2,5f7/2,3097.9465,0.0029,3097.947(3),1.2798689,0.0165496,1.280(17),,,,
12d5/2,6f5/2,5348.7809,0.0015,5348.781(2),0.6388134,0.008691,0.6388(87),,,,
12d5/2,6f7/2,5348.4782,0.0015,5348.478(2),2.8569679,0.0388318,2.857(39),,,,
12d5/2,7f5/2,9513.6942,0.002,9513.694(2),1.4651639,0.0191072,1.465(19),,,,
12d5/2,7f7/2,9513.0272,0.0033,9513.027(3),6.5527584,0.0853655,6.553(85),,,,
12d5/2,8f5/2,19217.6347,0.0083,19217.635(8),4.1612018,0.0423378,4.161(42),,,,
12d5/2,8f7/2,19215.6738,0.0234,19215.67(2),18.60996,0.1892,18.61(19),,,,
12d5/2,9f5/2,63781.9372,0.091,63781.94(9),28.544271,0.659304,28.54(66),,,,
12d5/2,9f7/2,63766.1161,0.296,63766.1(3),127.62109,2.95268,127.6(30),,,,
12d5/2,10f5/2,97024.1716,0.2105,97024.2(2),50.663084,0.558057,50.66(56),,,,
12d5/2,10f7/2,97051.5732,0.2664,97051.6(3),226.59166,2.49731,226.6(25),,,,
12d5/2,11f5/2,33876.4978,0.0257,33876.50(3),2.8161122,0.4096889,2.82(41),,,,
12d5/2,11f7/2,33879.0572,0.0325,33879.06(3),12.573328,1.835851,12.6(18),,,,
12d5/2,12f5/2,22664.3277,0.0115,22664.33(1),0.5341101,0.2185909,0.53(22),,,,
12d5/2,12f7/2,22665.2215,0.0145,22665.22(1),2.3777968,0.9793049,2.38(98),,,,
13d3/2,6p1/2,519.8185,0,519.8185,0.3961108,0.0055292,0.3961(55),,,,
13d3/2,6p3/2,535.2332,0,535.2332,0.1821633,0.0025647,0.1822(26),,,,
13d3/2,7p1/2,1156.0152,0.0027,1156.015(3),0.740582,0.0075927,0.7406(76),,,,
13d3/2,7p3/2,1180.7273,0.0036,1180.727(4),0.3461515,0.0036764,0.3462(37),,,,
13d3/2,8p1/2,2124.5325,0.0002,2124.5325(2),1.2309513,0.0186027,1.231(19),,,,
13d3/2,8p3/2,2162.515,0.014,2162.52(1),0.5828232,0.0069902,0.5828(70),,,,
13d3/2,9p1/2,3598.7318,0.0009,3598.7318(9),1.9762081,0.0394522,1.976(39),,,,
13d3/2,9p3/2,3657.544,0.0016,3657.544(2),0.9469485,0.0158036,0.947(16),,,,
13d3/2,10p1/2,5920.8699,0.0025,5920.870(2),3.2048952,0.0798784,3.205(80),,,,
13d3/2,10p3/2,6016.5706,0.0044,6016.571(4),1.5552847,0.0333175,1.555(33),,,,
13d3/2,11p1/2,9878.1998,0.005,9878.200(5),5.4892725,0.1699745,5.49(17),,,,
13d3/2,11p3/2,10050.9654,0.0307,10050.97(3),2.7054315,0.0734154,2.705(73),,,,
13d3/2,12p1/2,17751.8427,0.0161,17751.84(2),10.664572,0.429022,10.66(43),,,,
13d3/2,12p3/2,18135.3817,0.1,18135.4(1),5.3795945,0.1930626,5.38(19),,,,
13d3/2,13p1/2,39986.3886,0.0815,39986.39(8),28.059525,1.744178,28.1(17),,,,
13d3/2,13p3/2,41394.9605,0.5212,41395.0(5),14.903951,0.843136,14.90(84),,,,
13d3/2,14p1/2,437034.2853,9.7391,437030(10),186.85902,0.3297,186.86(33),,,,
13d3/2,14p3/2,602761.8548,110.5,602800(100),84.036081,0.140954,84.04(14),,,,
13d3/2,4f5/2,1682.5028,0.0006,1682.5028(6),0.3288059,0.0046224,0.3288(46),,,,
13d3/2,5f5/2,2903.2209,0.0026,2903.221(3),0.8127584,0.0126719,0.813(13),,,,
13d3/2,6f5/2,4793.3124,0.0016,4793.312(2),1.6801053,0.0281811,1.680(28),,,,
13d3/2,7f5/2,7887.8568,0.0032,7887.857(3),3.3764062,0.0584981,3.376(58),,,,
13d3/2,8f5/2,13568.3277,0.0094,13568.328(9),7.29557,0.1204637,7.30(12),,,,
13d3/2,9f5/2,26778.1136,0.0366,26778.11(4),20.010332,0.230801,20.01(23),,,,
13d3/2,10f5/2,88037.4687,0.3952,88037.5(4),136.94905,3.28605,136.9(33),,,,
13d3/2,11f5/2,127332.0872,0.8267,127332.1(8),227.88167,2.83135,227.9(28),,,,
13d3/2,12f5/2,44530.1601,0.1011,44530.2(1),15.323349,1.869379,15.3(19),,,,
13d5/2,6p3/2,535.1843,0,535.1843,0.5452283,0.0070863,0.5452(71),,,,
13d5/2,7p3/2,1180.4893,0.0036,1180.489(4),1.0298965,0.0100694,1.030(10),,,,
13d5/2,8p3/2,2161.7169,0.014,2161.72(1),1.7269115,0.0209097,1.727(21),,,,
13d5/2,9p3/2,3655.2613,0.0015,3655.261(1),2.795748,0.0462341,2.796(46),,,,
13d5/2,10p3/2,6010.3963,0.004,6010.396(4),4.5750219,0.0961803,4.575(96),,,,
13d5/2,11p3/2,10033.7465,0.0303,10033.75(3),7.9236673,0.2096252,7.92(21),,,,
13d5/2,12p3/2,18079.4,0.0983,18079.4(1),15.654477,0.544698,15.65(54),,,,
13d5/2,13p3/2,41104.4435,0.508,41104.4(5),42.752095,2.331086,42.8(23),,,,
13d5/2,14p3/2,546516.7753,89.8031,546520(90),252.2104,0.39623,252.21(40),,,,
13d5/2,4f5/2,1682.0196,0.0006,1682.0196(6),0.0885042,0.0010606,0.0885(11),,,,
13d5/2,4f7/2,1681.9683,0.0006,1681.9683(6),0.3957803,0.004739,0.3958(47),,,,
13d5/2,5f5/2,2901.7825,0.0025,2901.782(3),0.2190284,0.0029304,0.2190(29),,,,
13d5/2,5f7/2,2901.6566,0.0025,2901.657(3),0.9795282,0.0130935,0.980(13),,,,
13d5/2,6f5/2,4789.3927,0.0012,4789.393(1),0.4531722,0.0065447,0.4532(65),,,,
13d5/2,6f7/2,4789.15,0.0012,4789.150(1),2.0267373,0.0292456,2.027(29),,,,
13d5/2,7f5/2,7877.2479,0.0014,7877.248(1),0.911116,0.0135876,0.911(14),,,,
13d5/2,7f7/2,7876.7906,0.0022,7876.791(2),4.0749158,0.0607235,4.075(61),,,,
13d5/2,8f5/2,13536.9672,0.0041,13536.967(4),1.9677908,0.0277665,1.968(28),,,,
13d5/2,8f7/2,13535.9942,0.0116,13535.99(1),8.8009078,0.1240684,8.80(12),,,,
13d5/2,9f5/2,26656.2387,0.0159,26656.24(2),5.3803198,0.0550418,5.380(55),,,,
13d5/2,9f7/2,26653.475,0.0517,26653.47(5),24.062546,0.245969,24.06(25),,,,
13d5/2,10f5/2,86733.7292,0.1682,86733.7(2),36.037196,0.829831,36.04(83),,,,
13d5/2,10f7/2,86711.8435,0.2127,86711.8(2),161.12186,3.71654,161.1(37),,,,
13d5/2,11f5/2,130161.8954,0.3788,130161.9(4),61.403775,0.702083,61.40(70),,,,
13d5/2,11f7/2,130199.6873,0.4795,130199.7(5),274.63165,3.14213,274.6(31),,,,
13d5/2,12f5/2,44871.3203,0.045,44871.32(5),3.7448749,0.4857401,3.74(49),,,,
13d5/2,12f7/2,44874.8239,0.057,44874.82(6),16.723037,2.176742,16.7(22),,,,
